Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2019/02/14 8:22:04 pm GMT-8,BMGT,Female,24,162,99,0,5000,1. Large Corporation,No,NA,3. Drive,NA,NA,0. Right-handed,140,Yes,40,0,No,7,3,5,0,Yes,No,0
2019/02/22 9:07:22 am GMT-8,BMGT,Male,20,180,70,2500,4500,3. Non-profit or Government Agency,Yes,0,3. Drive,100,100,0. Right-handed,80,No,10.5,1,No,7,4,12,0,Yes,No,1
2019/09/09 5:01:07 pm GMT-7,BABI,Female,33,167,70,4000,4000,1. Large Corporation,No,2500,2. Public Transport,70,250,0. Right-handed,120,Yes,9.68,0,No,7,1,0,40,No,Yes,0
2019/09/09 7:14:35 pm GMT-7,BABI,Female,26,160,50,5200,NA,1. Large Corporation,Yes,1000,2. Public Transport,100,500,0. Right-handed,100,No,NA,NA,No,7,15,2,40,Yes,No,0
2019/09/09 7:14:53 pm GMT-7,BABI,Male,29,180,65,4500,7000,1. Large Corporation,Yes,1000,3. Drive,NA,500,0. Right-handed,50,No,10,0,No,7,5,10,40,Yes,Yes,3
2019/09/09 7:15:34 pm GMT-7,BABI,Male,22,175,59,2600,3000,1. Large Corporation,Yes,150,3. Drive,10,300,0. Right-handed,40,No,NA,3,No,8,21,2,40,Yes,No,3
2019/09/09 7:15:42 pm GMT-7,BABI,Female,27,166,70,1600,2300,3. Non-profit or Government Agency,Yes,200,2. Public Transport,60,70,0. Right-handed,45,No,11,0,No,7,10,0,40,Yes,No,3
2019/09/09 7:15:54 pm GMT-7,BABI,Male,29,171,64,1600,2000,3. Non-profit or Government Agency,No,1800,2. Public Transport,40,100,1. Left-handed,72,No,NA,3,Yes,7,5,NA,50,Yes,No,3
2019/09/09 7:15:58 pm GMT-7,BABI,Female,25,165,60,5000,5500,2. Small Company,No,2000,1. Walk,0,100,0. Right-handed,50,No,914,2,Yes,8,5,0,40,Yes,No,4
2019/09/09 7:16:01 pm GMT-7,BABI,Male,27,180,70,0,5000,2. Small Company,No,NA,1. Walk,0,NA,0. Right-handed,90,No,NA,10,No,7,1,10,40,Yes,Yes,0
2019/09/09 7:16:04 pm GMT-7,BABI,Male,24,175,108,NA,4500,3. Non-profit or Government Agency,Yes,400,2. Public Transport,30,50,0. Right-handed,55,No,10316,0,No,5,NA,0,35,Yes,Yes,NA
2019/09/09 7:16:10 pm GMT-7,BABI,Male,34,191,113,8000,8000,1. Large Corporation,Yes,600,3. Drive,50,200,0. Right-handed,70,No,34.5,0,No,8,1,5,37.5,Yes,Yes,1
2019/09/09 7:16:23 pm GMT-7,BABI,Female,26,171,60,5000,6000,1. Large Corporation,No,500,2. Public Transport,140,500,0. Right-handed,70,No,9.6,10,No,7,5,5,5,Yes,Yes,1
2019/09/09 7:17:03 pm GMT-7,BABI,Male,28,178,86,4000,5000,2. Small Company,No,1200,2. Public Transport,40,300,0. Right-handed,50,No,13,5,No,7,7,10,40,Yes,Yes,2
2019/09/09 7:17:05 pm GMT-7,BABI,Male,40,150,70,4000,8000,2. Small Company,No,1800,2. Public Transport,100,10,2. Ambidextrous,40,Yes,10,2,Yes,8,2,0,30,Yes,Yes,1
2019/09/09 7:17:22 pm GMT-7,BABI,Male,32,180,86,2800,5500,2. Small Company,No,775,2. Public Transport,NA,30,0. Right-handed,65,No,11,NA,Yes,7,2,0,14,No,Yes,1
2019/09/09 7:17:41 pm GMT-7,BABI,Male,24,168,72,4400,6000,2. Small Company,No,1800,2. Public Transport,140,600,0. Right-handed,64,No,10.43,NA,No,8,14,14,40,Yes,No,1.5
2019/09/09 7:17:48 pm GMT-7,BABI,Female,35,164,64,NA,4000,3. Non-profit or Government Agency,No,NA,3. Drive,65,500,0. Right-handed,72,No,9.6,NA,No,7,2,0,35,Yes,Yes,0.5
2019/09/09 7:17:55 pm GMT-7,BABI,Female,26,164,64,3300,4000,2. Small Company,No,1600,2. Public Transport,200,400,0. Right-handed,60,No,9,10,Yes,6,8,4,37.5,No,Yes,2
2019/09/09 7:18:59 pm GMT-7,BABI,Male,42,178,68,8000,NA,3. Non-profit or Government Agency,No,NA,3. Drive,50,200,0. Right-handed,50,No,9,0,No,7,2,2,40,Yes,Yes,2
2019/09/09 9:01:44 pm GMT-7,BABI,Female,27,155,46,3038,5000,1. Large Corporation,No,2500,3. Drive,200,200,0. Right-handed,75,No,8.75,1,No,8,10,8,40,Yes,No,1
2020/08/30 3:50:44 pm GMT-7,BABI,Other,90,180,70,6000,7000,3. Non-profit or Government Agency,No,1500,5. Other,0,500,0. Right-handed,30,No,10,4,No,7.5,7,10,32,Yes,No,2
2020/09/03 9:52:30 pm GMT-7,BABI,Female,24,150,45,3000,4000,1. Large Corporation,Yes,2000,3. Drive,250,500,0. Right-handed,75,No,8.7,0,No,7,10,20,40,Yes,Yes,1
2020/09/05 11:38:19 am GMT-7,BABI,Female,30,165,60,2000,4000,3. Non-profit or Government Agency,No,500,1. Walk,20,100,0. Right-handed,70,No,NA,0,No,8,1,10,40,Yes,Yes,1
2020/09/08 5:46:31 pm GMT-7,BABI,Male,25,183,101,3000,5000,1. Large Corporation,Yes,200,2. Public Transport,0,30,0. Right-handed,90,No,11,5,Yes,7,10,NA,20,No,No,1
